products_options_id	language_id	products_options_name	store_id	custom1	custom2	option_type	code	products_options_values_id	language_id	products_options_values_name	store_id	custom1	custom2	code
2	2	Gr”áe	NULL	NULL	NULL	0	NULL	2	3	8 mb	NULL	NULL	NULL	NULL
2	2	Gr”áe	NULL	NULL	NULL	0	NULL	2	4	8 mb	NULL	NULL	NULL	NULL
2	3	Talla	NULL	NULL	NULL	0	NULL	2	1	8 mb	NULL	NULL	NULL	NULL
2	3	Talla	NULL	NULL	NULL	0	NULL	2	2	8 MB	NULL	NULL	NULL	NULL
2	3	Talla	NULL	NULL	NULL	0	NULL	2	3	8 mb	NULL	NULL	NULL	NULL
2	3	Talla	NULL	NULL	NULL	0	NULL	2	4	8 mb	NULL	NULL	NULL	NULL
2	4	Tamanho	NULL	NULL	NULL	0	NULL	2	1	8 mb	NULL	NULL	NULL	NULL
2	4	Tamanho	NULL	NULL	NULL	0	NULL	2	2	8 MB	NULL	NULL	NULL	NULL
2	4	Tamanho	NULL	NULL	NULL	0	NULL	2	3	8 mb	NULL	NULL	NULL	NULL
2	4	Tamanho	NULL	NULL	NULL	0	NULL	2	4	8 mb	NULL	NULL	NULL	NULL
3	1	Model	NULL	NULL	NULL	0	NULL	3	1	16 mb	NULL	NULL	NULL	NULL
3	1	Model	NULL	NULL	NULL	0	NULL	3	2	16 MB	NULL	NULL	NULL	NULL
3	1	Model	NULL	NULL	NULL	0	NULL	3	3	16 mb	NULL	NULL	NULL	NULL
3	1	Model	NULL	NULL	NULL	0	NULL	3	4	16 mb	NULL	NULL	NULL	NULL
3	2	Modell	NULL	NULL	NULL	0	NULL	3	1	16 mb	NULL	NULL	NULL	NULL
3	2	Modell	NULL	NULL	NULL	0	NULL	3	2	16 MB	NULL	NULL	NULL	NULL
3	2	Modell	NULL	NULL	NULL	0	NULL	3	3	16 mb	NULL	NULL	NULL	NULL
3	2	Modell	NULL	NULL	NULL	0	NULL	3	4	16 mb	NULL	NULL	NULL	NULL
3	3	Modelo	NULL	NULL	NULL	0	NULL	3	1	16 mb	NULL	NULL	NULL	NULL
3	3	Modelo	NULL	NULL	NULL	0	NULL	3	2	16 MB	NULL	NULL	NULL	NULL
3	3	Modelo	NULL	NULL	NULL	0	NULL	3	3	16 mb	NULL	NULL	NULL	NULL
3	3	Modelo	NULL	NULL	NULL	0	NULL	3	4	16 mb	NULL	NULL	NULL	NULL
3	4	Modelo	NULL	NULL	NULL	0	NULL	3	1	16 mb	NULL	NULL	NULL	NULL
3	4	Modelo	NULL	NULL	NULL	0	NULL	3	2	16 MB	NULL	NULL	NULL	NULL
3	4	Modelo	NULL	NULL	NULL	0	NULL	3	3	16 mb	NULL	NULL	NULL	NULL
3	4	Modelo	NULL	NULL	NULL	0	NULL	3	4	16 mb	NULL	NULL	NULL	NULL
4	1	Memory	NULL	NULL	NULL	0	NULL	4	1	32 mb	NULL	NULL	NULL	NULL
4	1	Memory	NULL	NULL	NULL	0	NULL	4	2	32 MB	NULL	NULL	NULL	NULL
4	1	Memory	NULL	NULL	NULL	0	NULL	4	3	32 mb	NULL	NULL	NULL	NULL
4	1	Memory	NULL	NULL	NULL	0	NULL	4	4	32 mb	NULL	NULL	NULL	NULL
4	2	Speicher	NULL	NULL	NULL	0	NULL	4	1	32 mb	NULL	NULL	NULL	NULL
4	2	Speicher	NULL	NULL	NULL	0	NULL	4	2	32 MB	NULL	NULL	NULL	NULL
4	2	Speicher	NULL	NULL	NULL	0	NULL	4	3	32 mb	NULL	NULL	NULL	NULL
4	2	Speicher	NULL	NULL	NULL	0	NULL	4	4	32 mb	NULL	NULL	NULL	NULL
4	3	Memoria	NULL	NULL	NULL	0	NULL	4	1	32 mb	NULL	NULL	NULL	NULL
4	3	Memoria	NULL	NULL	NULL	0	NULL	4	2	32 MB	NULL	NULL	NULL	NULL
4	3	Memoria	NULL	NULL	NULL	0	NULL	4	3	32 mb	NULL	NULL	NULL	NULL
4	3	Memoria	NULL	NULL	NULL	0	NULL	4	4	32 mb	NULL	NULL	NULL	NULL
4	4	Mem¢ria	NULL	NULL	NULL	0	NULL	4	1	32 mb	NULL	NULL	NULL	NULL
4	4	Mem¢ria	NULL	NULL	NULL	0	NULL	4	2	32 MB	NULL	NULL	NULL	NULL
4	4	Mem¢ria	NULL	NULL	NULL	0	NULL	4	3	32 mb	NULL	NULL	NULL	NULL
4	4	Mem¢ria	NULL	NULL	NULL	0	NULL	4	4	32 mb	NULL	NULL	NULL	NULL
5	1	Type	NULL	NULL	NULL	0	NULL	5	1	Value	NULL	NULL	NULL	NULL
5	1	Type	NULL	NULL	NULL	0	NULL	5	2	Value Ausgabe	NULL	NULL	NULL	NULL
5	1	Type	NULL	NULL	NULL	0	NULL	5	3	Value	NULL	NULL	NULL	NULL
5	1	Type	NULL	NULL	NULL	0	NULL	5	4	Valor	NULL	NULL	NULL	NULL
5	2	Type	NULL	NULL	NULL	0	NULL	5	1	Value	NULL	NULL	NULL	NULL
5	2	Type	NULL	NULL	NULL	0	NULL	5	2	Value Ausgabe	NULL	NULL	NULL	NULL
5	2	Type	NULL	NULL	NULL	0	NULL	5	3	Value	NULL	NULL	NULL	NULL
5	2	Type	NULL	NULL	NULL	0	NULL	5	4	Valor	NULL	NULL	NULL	NULL
5	3	Type	NULL	NULL	NULL	0	NULL	5	1	Value	NULL	NULL	NULL	NULL
5	3	Type	NULL	NULL	NULL	0	NULL	5	2	Value Ausgabe	NULL	NULL	NULL	NULL
5	3	Type	NULL	NULL	NULL	0	NULL	5	3	Value	NULL	NULL	NULL	NULL
5	3	Type	NULL	NULL	NULL	0	NULL	5	4	Valor	NULL	NULL	NULL	NULL
5	4	Type	NULL	NULL	NULL	0	NULL	5	1	Value	NULL	NULL	NULL	NULL
5	4	Type	NULL	NULL	NULL	0	NULL	5	2	Value Ausgabe	NULL	NULL	NULL	NULL
5	4	Type	NULL	NULL	NULL	0	NULL	5	3	Value	NULL	NULL	NULL	NULL
5	4	Type	NULL	NULL	NULL	0	NULL	5	4	Valor	NULL	NULL	NULL	NULL
